"startYear","endYear","genderConceptId","startAge","endAge","population","country","location"
2016,2016,8532,4,4,234664,"KOR","KOR"
2017,2017,8507,4,4,238356,"KOR","KOR"
2017,2017,8532,4,4,226437,"KOR","KOR"
2018,2018,8507,4,4,225582,"KOR","KOR"
2018,2018,8532,4,4,214737,"KOR","KOR"
1993,1993,8507,5,5,327040,"KOR","KOR"
1993,1993,8532,5,5,296776,"KOR","KOR"
1994,1994,8507,5,5,333030,"KOR","KOR"
1994,1994,8532,5,5,298185,"KOR","KOR"
1995,1995,8507,5,5,339088,"KOR","KOR"
1995,1995,8532,5,5,299444,"KOR","KOR"
1996,1996,8507,5,5,358702,"KOR","KOR"
1996,1996,8532,5,5,315969,"KOR","KOR"
1997,1997,8507,5,5,379669,"KOR","KOR"
1997,1997,8532,5,5,337695,"KOR","KOR"
1998,1998,8507,5,5,384060,"KOR","KOR"
1998,1998,8532,5,5,336757,"KOR","KOR"
1999,1999,8507,5,5,382370,"KOR","KOR"
1999,1999,8532,5,5,332669,"KOR","KOR"
2000,2000,8507,5,5,380263,"KOR","KOR"
2000,2000,8532,5,5,333729,"KOR","KOR"
2001,2001,8507,5,5,369985,"KOR","KOR"
2001,2001,8532,5,5,329611,"KOR","KOR"
2002,2002,8507,5,5,356297,"KOR","KOR"
2002,2002,8532,5,5,324611,"KOR","KOR"
2003,2003,8507,5,5,342745,"KOR","KOR"
2003,2003,8532,5,5,314456,"KOR","KOR"
2004,2004,8507,5,5,329776,"KOR","KOR"
2004,2004,8532,5,5,300637,"KOR","KOR"
2005,2005,8507,5,5,329336,"KOR","KOR"
2005,2005,8532,5,5,300495,"KOR","KOR"
2006,2006,8507,5,5,313032,"KOR","KOR"
2006,2006,8532,5,5,286419,"KOR","KOR"
2007,2007,8507,5,5,274964,"KOR","KOR"
2007,2007,8532,5,5,252011,"KOR","KOR"
2008,2008,8507,5,5,257295,"KOR","KOR"
2008,2008,8532,5,5,236426,"KOR","KOR"
2009,2009,8507,5,5,250733,"KOR","KOR"
2009,2009,8532,5,5,232280,"KOR","KOR"
2010,2010,8507,5,5,235350,"KOR","KOR"
2010,2010,8532,5,5,218708,"KOR","KOR"
2011,2011,8507,5,5,228658,"KOR","KOR"
2011,2011,8532,5,5,213111,"KOR","KOR"
2012,2012,8507,5,5,243204,"KOR","KOR"
2012,2012,8532,5,5,228347,"KOR","KOR"
2013,2013,8507,5,5,247577,"KOR","KOR"
2013,2013,8532,5,5,233571,"KOR","KOR"
2014,2014,8507,5,5,235554,"KOR","KOR"
2014,2014,8532,5,5,221967,"KOR","KOR"
2015,2015,8507,5,5,237070,"KOR","KOR"
2015,2015,8532,5,5,222995,"KOR","KOR"
2016,2016,8507,5,5,243918,"KOR","KOR"
2016,2016,8532,5,5,230241,"KOR","KOR"
2017,2017,8507,5,5,247529,"KOR","KOR"
2017,2017,8532,5,5,234769,"KOR","KOR"
2018,2018,8507,5,5,238428,"KOR","KOR"
2018,2018,8532,5,5,226548,"KOR","KOR"
1993,1993,8507,6,6,326965,"KOR","KOR"
1993,1993,8532,6,6,298856,"KOR","KOR"
1994,1994,8507,6,6,327550,"KOR","KOR"
1994,1994,8532,6,6,297492,"KOR","KOR"
1995,1995,8507,6,6,333354,"KOR","KOR"
1995,1995,8532,6,6,298700,"KOR","KOR"
1996,1996,8507,6,6,339638,"KOR","KOR"
1996,1996,8532,6,6,300090,"KOR","KOR"
1997,1997,8507,6,6,359277,"KOR","KOR"
1997,1997,8532,6,6,316628,"KOR","KOR"
1998,1998,8507,6,6,380192,"KOR","KOR"
1998,1998,8532,6,6,338231,"KOR","KOR"
1999,1999,8507,6,6,384562,"KOR","KOR"
1999,1999,8532,6,6,337236,"KOR","KOR"
2000,2000,8507,6,6,382936,"KOR","KOR"
2000,2000,8532,6,6,333281,"KOR","KOR"
2001,2001,8507,6,6,380577,"KOR","KOR"
2001,2001,8532,6,6,334212,"KOR","KOR"
2002,2002,8507,6,6,370106,"KOR","KOR"
2002,2002,8532,6,6,329894,"KOR","KOR"
2003,2003,8507,6,6,356373,"KOR","KOR"
2003,2003,8532,6,6,324790,"KOR","KOR"
2004,2004,8507,6,6,342902,"KOR","KOR"
2004,2004,8532,6,6,314702,"KOR","KOR"
2005,2005,8507,6,6,330009,"KOR","KOR"
2005,2005,8532,6,6,300952,"KOR","KOR"
2006,2006,8507,6,6,329453,"KOR","KOR"
2006,2006,8532,6,6,300702,"KOR","KOR"
2007,2007,8507,6,6,313167,"KOR","KOR"
2007,2007,8532,6,6,286556,"KOR","KOR"
2008,2008,8507,6,6,275051,"KOR","KOR"
2008,2008,8532,6,6,252115,"KOR","KOR"
2009,2009,8507,6,6,257342,"KOR","KOR"
2009,2009,8532,6,6,236509,"KOR","KOR"
2010,2010,8507,6,6,250823,"KOR","KOR"
2010,2010,8532,6,6,232362,"KOR","KOR"
2011,2011,8507,6,6,235522,"KOR","KOR"
2011,2011,8532,6,6,218867,"KOR","KOR"
2012,2012,8507,6,6,228842,"KOR","KOR"
2012,2012,8532,6,6,213275,"KOR","KOR"
2013,2013,8507,6,6,243354,"KOR","KOR"
2013,2013,8532,6,6,228523,"KOR","KOR"
2014,2014,8507,6,6,247758,"KOR","KOR"
2014,2014,8532,6,6,233778,"KOR","KOR"
2015,2015,8507,6,6,235706,"KOR","KOR"
2015,2015,8532,6,6,222115,"KOR","KOR"
2016,2016,8507,6,6,237167,"KOR","KOR"
2016,2016,8532,6,6,223109,"KOR","KOR"
2017,2017,8507,6,6,244012,"KOR","KOR"
2017,2017,8532,6,6,230356,"KOR","KOR"
2018,2018,8507,6,6,247612,"KOR","KOR"
2018,2018,8532,6,6,234883,"KOR","KOR"
1993,1993,8507,7,7,337726,"KOR","KOR"
1993,1993,8532,7,7,308020,"KOR","KOR"
1994,1994,8507,7,7,327650,"KOR","KOR"
1994,1994,8532,7,7,299631,"KOR","KOR"
1995,1995,8507,7,7,327795,"KOR","KOR"
1995,1995,8532,7,7,297863,"KOR","KOR"
1996,1996,8507,7,7,333458,"KOR","KOR"
1996,1996,8532,7,7,298987,"KOR","KOR"
1997,1997,8507,7,7,339742,"KOR","KOR"
1997,1997,8532,7,7,300366,"KOR","KOR"
